,movie_title,nominee,category,year_released,year_awarded,win
0,For Whom The Bell Tolls,Katina Paxinou,Best Performance by an Actress in a Supporting Role in any Motion Picture,1943,1944,True
1,For Whom The Bell Tolls,Akim Tamiroff,Best Performance by an Actor in a Supporting Role in any Motion Picture,1943,1944,True
2,The Song Of Bernadette,Henry King,Best Director - Motion Picture,1943,1944,True
3,,The Song Of Bernadette,Picture,1943,1944,True
4,The Song Of Bernadette,Jennifer Jones,Actress In A Leading Role,1943,1944,True
5,Watch On The Rhine,Paul Lukas,Actor In A Leading Role,1943,1944,True
6,Mrs. Parkington,Agnes Moorehead,Best Performance by an Actress in a Supporting Role in any Motion Picture,1944,1945,True
7,Going My Way,Barry Fitzgerald,Best Performance by an Actor in a Supporting Role in any Motion Picture,1944,1945,True
8,Going My Way,Leo McCarey,Best Director - Motion Picture,1944,1945,True
9,,Going My Way,Picture,1944,1945,True
10,Gaslight,Ingrid Bergman,Actress In A Leading Role,1944,1945,True
11,Wilson,Alexander Knox,Actor In A Leading Role,1944,1945,True
12,The Picture of Dorian Gray,Angela Lansbury,Best Performance by an Actress in a Supporting Role in any Motion Picture,1945,1946,True
13,A Medal For Benny,J. Carroll Naish,Best Performance by an Actor in a Supporting Role in any Motion Picture,1945,1946,True
14,The Lost Weekend,Billy Wilder,Best Director - Motion Picture,1945,1946,True
15,The House I Live In,Frank Sinatra,Promoting International Understanding,1945,1946,True
16,,The Lost Weekend,Picture,1945,1946,True
17,The Bells of St. Mary's,Ingrid Bergman,Actress In A Leading Role,1945,1946,True
18,The Lost Weekend,Ray Milland,Actor In A Leading Role,1945,1946,True
19,The Razor's Edge,Anne Baxter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1946,1947,True
20,The Razor's Edge,Clifton Webb,Best Performance by an Actor in a Supporting Role in any Motion Picture,1946,1947,True
21,It's A Wonderful Life,Frank Capra,Best Director - Motion Picture,1946,1947,True
22,The Last Chance,"Switzerland, Leopold Lindtberg",Promoting International Understanding,1946,1947,True
23,The Best Years Of Our Lives,Harold Russell,Special Achievement Award,1946,1947,False
24,,The Best Years Of Our Lives,Picture,1946,1947,True
25,Sister Kenny,Rosalind Russell,Actress In A Leading Role,1946,1947,True
26,The Yearling,Gregory Peck,Actor In A Leading Role,1946,1947,True
27,Gentleman's Agreement,Celeste Holm,Best Performance by an Actress in a Supporting Role in any Motion Picture,1947,1948,True
28,Miracle On 34th Street,Edmund Gwenn,Best Performance by an Actor in a Supporting Role in any Motion Picture,1947,1948,True
29,Gentleman's Agreement,Elia Kazan,Best Director - Motion Picture,1947,1948,True
30,Miracle On 34th Street,George Seaton,Best Screenplay - Motion Picture,1947,1948,True
31,Life With Father,Max Steiner,Best Original Score - Motion Picture,1947,1948,True
32,Bambi,Walt Disney,Special Achievement Award,1947,1948,False
33,That Hagen Girl,Lois Maxwell,New Star Of The Year - Actress,1947,1948,True
34,Kiss Of Death,Richard Widmark,New Star Of The Year - Actor,1947,1948,True
35,,Gentleman's Agreement,Picture,1947,1948,True
36,Gentleman's Agreement,Dean Stockwell,Juvenile Performance,1947,1948,True
37,Mourning Becomes Electra,Rosalind Russell,Actress In A Leading Role,1947,1948,True
38,A Double Life,Ronald Colman,Actor In A Leading Role,1947,1948,True
39,Black Narcissus,Jack Cardiff,Cinematography,1947,1948,True
40,I Remember Mama,Ellen Corby,Best Performance by an Actress in a Supporting Role in any Motion Picture,1948,1949,True
41,The Treasure of the Sierra Madre,Walter Huston,Best Performance by an Actor in a Supporting Role in any Motion Picture,1948,1949,True
42,The Treasure of the Sierra Madre,John Huston,Best Director - Motion Picture,1948,1949,True
43,The Search,Richard Schweizer,Best Screenplay - Motion Picture,1948,1949,True
44,The Red Shoes,Brian Easdale,Best Original Score - Motion Picture,1948,1949,True
45,The Search,Fred Zinnemann,Promoting International Understanding,1948,1949,True
46,,Johnny Belinda,Picture,1948,1949,True
47,,The Treasure of the Sierra Madre,Picture,1948,1949,True
48,The Search,Ivan Jandl,Juvenile Performance,1948,1949,True
49,Johnny Belinda,Jane Wyman,Actress In A Leading Role,1948,1949,True
50,Hamlet (1948),Laurence Olivier,Actor In A Leading Role,1948,1949,True
51,Hamlet (1948),"United Kingdom, Laurence Olivier",Foreign Film - English Language,1948,1949,True
52,The Pearl,Gabriel Figueroa,Cinematography,1948,1949,True
53,All The King's Men,Mercedes McCambridge,Best Performance by an Actress in a Supporting Role in any Motion Picture,1949,1950,True
54,The Heiress,Miriam Hopkins,Best Performance by an Actress in a Supporting Role in any Motion Picture,1949,1950,False
55,Battleground,James Whitmore,Best Performance by an Actor in a Supporting Role in any Motion Picture,1949,1950,True
56,Intruder In The Dust,David Brian,Best Performance by an Actor in a Supporting Role in any Motion Picture,1949,1950,False
57,All The King's Men,Robert Rossen,Best Director - Motion Picture,1949,1950,True
58,The Heiress,William Wyler,Best Director - Motion Picture,1949,1950,False
59,Battleground,Robert Pirosh,Best Screenplay - Motion Picture,1949,1950,True
60,Rope of Sand,Walter Doniger,Best Screenplay - Motion Picture,1949,1950,False
61,"Italy, Vittorio De Sica",The Bicycle Thief,Best Motion Picture - Foreign Language,1949,1950,True
62,"United Kingdom, Carol Reed",The Fallen Idol,Best Motion Picture - Foreign Language,1949,1950,False
63,The Inspector General,Johnny Green,Best Original Score - Motion Picture,1949,1950,True
64,All The King's Men,George Duning,Best Original Score - Motion Picture,1949,1950,False
65,The Hasty Heart,Vincent Sherman,Promoting International Understanding,1949,1950,True
66,Monsieur Vincent,Maurice Cloche,Promoting International Understanding,1949,1950,False
67,All The King's Men,Mercedes McCambridge,New Star Of The Year - Actress,1949,1950,True
68,Champion,Ruth Roman,New Star Of The Year - Actress,1949,1950,False
69,The Hasty Heart,Richard Todd,New Star Of The Year - Actor,1949,1950,True
70,Intruder In The Dust,Juano Hernandez,New Star Of The Year - Actor,1949,1950,False
71,,The Adventures of Ichabod and Mr. Toad,Outstanding Use Of Color,1949,1950,True
72,,On The Town,Outstanding Use Of Color,1949,1950,False
73,,All The King's Men,Picture,1949,1950,True
74,,Come To The Stable,Picture,1949,1950,False
75,The Heiress,Olivia de Havilland,Actress In A Leading Role,1949,1950,True
76,"Edward, My Son",Deborah Kerr,Actress In A Leading Role,1949,1950,False
77,All The King's Men,Broderick Crawford,Actor In A Leading Role,1949,1950,True
78,The Hasty Heart,Richard Todd,Actor In A Leading Role,1949,1950,False
79,Champion,Franz F. Planer,Cinematography,1949,1950,True
80,All The King's Men,Burnett Guffey,Cinematography,1949,1950,False
81,Sunset Boulevard,Gloria Swanson,Best Performance by an Actress in a Motion Picture - Drama,1950,1951,True
82,All About Eve,Bette Davis,Best Performance by an Actress in a Motion Picture - Drama,1950,1951,False
83,Born Yesterday,Judy Holliday,Best Performance by an Actress in a Motion Picture - Drama,1950,1951,False
84,Cyrano de Bergerac (1950),José Ferrer,Best Performance by an Actor in a Motion Picture - Drama,1950,1951,True
85,The Magnificent Yankee,Louis Calhern,Best Performance by an Actor in a Motion Picture - Drama,1950,1951,False
86,Harvey,James Stewart,Best Performance by an Actor in a Motion Picture - Drama,1950,1951,False
87,Three Little Words,Fred Astaire,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1950,1951,True
88,When Willie Comes Marching Home,Dan Dailey,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1950,1951,False
89,The Sin Of Harold Diddlebock,Harold Lloyd,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1950,1951,False
90,Harvey,Josephine Hull,Best Performance by an Actress in a Supporting Role in any Motion Picture,1950,1951,True
91,Adam's Rib,Judy Holliday,Best Performance by an Actress in a Supporting Role in any Motion Picture,1950,1951,False
92,All About Eve,Thelma Ritter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1950,1951,False
93,Mister 880,Edmund Gwenn,Best Performance by an Actor in a Supporting Role in any Motion Picture,1950,1951,True
94,Sunset Boulevard,Erich von Stroheim,Best Performance by an Actor in a Supporting Role in any Motion Picture,1950,1951,False
95,All About Eve,George Sanders,Best Performance by an Actor in a Supporting Role in any Motion Picture,1950,1951,False
96,Sunset Boulevard,Billy Wilder,Best Director - Motion Picture,1950,1951,True
97,Born Yesterday,George Cukor,Best Director - Motion Picture,1950,1951,False
98,The Asphalt Jungle,John Huston,Best Director - Motion Picture,1950,1951,False
99,All About Eve,Joseph L. Mankiewicz,Best Director - Motion Picture,1950,1951,False
100,All About Eve,Joseph L. Mankiewicz,Best Screenplay - Motion Picture,1950,1951,True
101,Sunset Boulevard,"Charles Brackett, Billy Wilder, D. M. Marshman Jr.",Best Screenplay - Motion Picture,1950,1951,False
102,The Asphalt Jungle,"Ben Maddow, John Huston",Best Screenplay - Motion Picture,1950,1951,False
103,Sunset Boulevard,Franz Waxman,Best Original Score - Motion Picture,1950,1951,True
104,Destination Moon,Leith Stevens,Best Original Score - Motion Picture,1950,1951,False
105,A Life Of Her Own,Bronislau Kaper,Best Original Score - Motion Picture,1950,1951,False
106,Broken Arrow,Delmer Daves,Promoting International Understanding,1950,1951,True
107,The Big Lift,George Seaton,Promoting International Understanding,1950,1951,False
108,The Next Voice You Hear...,William A. Wellman,Promoting International Understanding,1950,1951,False
109,Tea For Two,Gene Nelson,New Star Of The Year,1950,1951,True
110,Cyrano de Bergerac (1950),Mala Powers,New Star Of The Year,1950,1951,False
111,Three Little Words,Debbie Reynolds,New Star Of The Year,1950,1951,False
112,,Sunset Boulevard,Picture,1950,1951,True
113,,Born Yesterday,Picture,1950,1951,False
114,,Cyrano de Bergerac (1950),Picture,1950,1951,False
115,Born Yesterday,Judy Holliday,Actress In A Leading Role - Musical Or Comedy,1950,1951,True
116,Louisa,Spring Byington,Actress In A Leading Role - Musical Or Comedy,1950,1951,False
117,Annie Get Your Gun,Betty Hutton,Actress In A Leading Role - Musical Or Comedy,1950,1951,False
118,,Gregory Peck,Henrietta Award (World Film Favorites),1950,1951,True
119,,Jane Wyman,Henrietta Award (World Film Favorites),1950,1951,True
120,King Solomon's Mines,Robert L. Surtees,Cinematography - Color,1950,1951,True
121,Broken Arrow,Ernest Palmer,Cinematography - Color,1950,1951,False
122,Samson and Delilah,George Barnes,Cinematography - Color,1950,1951,False
123,Cyrano de Bergerac (1950),Franz F. Planer,Cinematography - Black And White,1950,1951,True
124,The Asphalt Jungle,Harold Rosson,Cinematography - Black And White,1950,1951,False
125,Sunset Boulevard,John F. Seitz,Cinematography - Black And White,1950,1951,False
126,,A Place In The Sun,Best Motion Picture - Drama,1951,1952,True
127,,Quo Vadis?,Best Motion Picture - Drama,1951,1952,False
128,,A Streetcar Named Desire (1951),Best Motion Picture - Drama,1951,1952,False
129,,Bright Victory,Best Motion Picture - Drama,1951,1952,False
130,,Detective Story,Best Motion Picture - Drama,1951,1952,False
131,,An American In Paris,Best Motion Picture - Musical or Comedy,1951,1952,True
132,The Blue Veil,Jane Wyman,Best Performance by an Actress in a Motion Picture - Drama,1951,1952,True
133,A Streetcar Named Desire (1951),Vivien Leigh,Best Performance by an Actress in a Motion Picture - Drama,1951,1952,False
134,A Place In The Sun,Shelley Winters,Best Performance by an Actress in a Motion Picture - Drama,1951,1952,False
135,Death of a Salesman (1951),Fredric March,Best Performance by an Actor in a Motion Picture - Drama,1951,1952,True
136,Detective Story,Kirk Douglas,Best Performance by an Actor in a Motion Picture - Drama,1951,1952,False
137,Bright Victory,Arthur Kennedy,Best Performance by an Actor in a Motion Picture - Drama,1951,1952,False
138,On The Riviera,Danny Kaye,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1951,1952,True
139,Here Comes The Groom,Bing Crosby,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1951,1952,False
140,An American In Paris,Gene Kelly,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1951,1952,False
141,A Streetcar Named Desire (1951),Kim Hunter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1951,1952,True
142,Detective Story,Lee Grant,Best Performance by an Actress in a Supporting Role in any Motion Picture,1951,1952,False
143,"Mating Season, The",Thelma Ritter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1951,1952,False
144,Quo Vadis?,Peter Ustinov,Best Performance by an Actor in a Supporting Role in any Motion Picture,1951,1952,True
