,year_film,year_award,category,nominee,film
0,1943,1944,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,For Whom The Bell Tolls
1,1943,1944,Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,For Whom The Bell Tolls
2,1943,1944,Best Director - Motion Picture,Henry King,The Song Of Bernadette
3,1943,1944,Actress In A Leading Role,Jennifer Jones,The Song Of Bernadette
4,1943,1944,Actor In A Leading Role,Paul Lukas,Watch On The Rhine
5,1944,1945,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,Mrs. Parkington
6,1944,1945,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,Going My Way
7,1944,1945,Best Director - Motion Picture,Leo McCarey,Going My Way
8,1944,1945,Actress In A Leading Role,Ingrid Bergman,Gaslight
9,1944,1945,Actor In A Leading Role,Alexander Knox,Wilson
10,1945,1946,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,The Picture of Dorian Gray
11,1945,1946,Best Performance by an Actor in a Supporting Role in any Motion Picture,J. Carroll Naish,A Medal For Benny
12,1945,1946,Best Director - Motion Picture,Billy Wilder,The Lost Weekend
13,1945,1946,Promoting International Understanding,Frank Sinatra,The House I Live In
14,1945,1946,Actress In A Leading Role,Ingrid Bergman,The Bells of St. Mary's
15,1945,1946,Actor In A Leading Role,Ray Milland,The Lost Weekend
16,1946,1947,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,The Razor's Edge
17,1946,1947,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clifton Webb,The Razor's Edge
18,1946,1947,Best Director - Motion Picture,Frank Capra,It's A Wonderful Life
19,1946,1947,Promoting International Understanding,"Switzerland, Leopold Lindtberg",The Last Chance
20,1946,1947,Actress In A Leading Role,Rosalind Russell,Sister Kenny
21,1946,1947,Actor In A Leading Role,Gregory Peck,The Yearling
22,1947,1948,Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,Gentleman's Agreement
23,1947,1948,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Miracle On 34th Street
24,1947,1948,Best Director - Motion Picture,Elia Kazan,Gentleman's Agreement
25,1947,1948,Best Screenplay - Motion Picture,George Seaton,Miracle On 34th Street
26,1947,1948,Best Original Score - Motion Picture,Max Steiner,Life With Father
27,1947,1948,New Star Of The Year - Actress,Lois Maxwell,That Hagen Girl
28,1947,1948,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death
29,1947,1948,Juvenile Performance,Dean Stockwell,Gentleman's Agreement
30,1947,1948,Actress In A Leading Role,Rosalind Russell,Mourning Becomes Electra
31,1947,1948,Actor In A Leading Role,Ronald Colman,A Double Life
32,1947,1948,Cinematography,Jack Cardiff,Black Narcissus
33,1948,1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Corby,I Remember Mama
34,1948,1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,Walter Huston,The Treasure of the Sierra Madre
35,1948,1949,Best Director - Motion Picture,John Huston,The Treasure of the Sierra Madre
36,1948,1949,Best Screenplay - Motion Picture,Richard Schweizer,The Search
37,1948,1949,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes
38,1948,1949,Promoting International Understanding,Fred Zinnemann,The Search
39,1948,1949,Juvenile Performance,Ivan Jandl,The Search
40,1948,1949,Actress In A Leading Role,Jane Wyman,Johnny Belinda
41,1948,1949,Actor In A Leading Role,Laurence Olivier,Hamlet (1948)
42,1948,1949,Foreign Film - English Language,"United Kingdom, Laurence Olivier",Hamlet (1948)
43,1948,1949,Cinematography,Gabriel Figueroa,The Pearl
44,1949,1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mercedes McCambridge,All The King's Men
45,1949,1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,James Whitmore,Battleground
46,1949,1950,Best Director - Motion Picture,Robert Rossen,All The King's Men
47,1949,1950,Best Screenplay - Motion Picture,Robert Pirosh,Battleground
48,1949,1950,Best Motion Picture - Foreign Language,The Bicycle Thief,"Italy, Vittorio De Sica"
49,1949,1950,Best Original Score - Motion Picture,Johnny Green,The Inspector General
50,1949,1950,Promoting International Understanding,Vincent Sherman,The Hasty Heart
51,1949,1950,New Star Of The Year - Actress,Mercedes McCambridge,All The King's Men
52,1949,1950,New Star Of The Year - Actor,Richard Todd,The Hasty Heart
53,1949,1950,Actress In A Leading Role,Olivia de Havilland,The Heiress
54,1949,1950,Actor In A Leading Role,Broderick Crawford,All The King's Men
55,1949,1950,Cinematography,Franz F. Planer,Champion
56,1950,1951,Best Performance by an Actress in a Motion Picture - Drama,Gloria Swanson,Sunset Boulevard
57,1950,1951,Best Performance by an Actor in a Motion Picture - Drama,José Ferrer,Cyrano de Bergerac (1950)
58,1950,1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Fred Astaire,Three Little Words
59,1950,1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey
60,1950,1951,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Mister 880
61,1950,1951,Best Director - Motion Picture,Billy Wilder,Sunset Boulevard
62,1950,1951,Best Screenplay - Motion Picture,Joseph L. Mankiewicz,All About Eve
63,1950,1951,Best Original Score - Motion Picture,Franz Waxman,Sunset Boulevard
64,1950,1951,Promoting International Understanding,Delmer Daves,Broken Arrow
65,1950,1951,New Star Of The Year,Gene Nelson,Tea For Two
66,1950,1951,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday
67,1950,1951,Cinematography - Color,Robert L. Surtees,King Solomon's Mines
68,1950,1951,Cinematography - Black And White,Franz F. Planer,Cyrano de Bergerac (1950)
69,1951,1952,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil
70,1951,1952,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Death of a Salesman (1951)
71,1951,1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,On The Riviera
72,1951,1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Hunter,A Streetcar Named Desire (1951)
73,1951,1952,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,Quo Vadis?
74,1951,1952,Best Director - Motion Picture,Laslo Benedek,Death of a Salesman (1951)
75,1951,1952,Best Screenplay - Motion Picture,Robert Buckner,Bright Victory
76,1951,1952,Best Original Score - Motion Picture,Victor Young,September Affair
77,1951,1952,Promoting International Understanding,Robert Wise,The Day The Earth Stood Still
78,1951,1952,New Star Of The Year - Actress,Pier Angeli,Teresa
79,1951,1952,New Star Of The Year - Actor,Kevin McCarthy,Death of a Salesman (1951)
80,1951,1952,Actress In A Leading Role - Musical Or Comedy,June Allyson,Too Young To Kiss
81,1951,1952,Cinematography - Color,William V. Skall,Quo Vadis?
82,1951,1952,Cinematography - Black And White,Franz F. Planer,Death of a Salesman (1951)
83,1952,1953,Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,"Come Back, Little Sheba"
84,1952,1953,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,High Noon
85,1952,1953,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald O'Connor,Singin' in the Rain
86,1952,1953,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katy Jurado,High Noon
87,1952,1953,Best Performance by an Actor in a Supporting Role in any Motion Picture,Millard Mitchell,My Six Convicts
