,year_film,year_award,category,nominee,film,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
0,1959,1960,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stephen Boyd,Ben-Hur,tt0052618,Ben-Hur,Ben-Hur,1959,21/10/1960,"Adventure, Drama, History",212,USA,English,William Wyler,"Lew Wallace, Karl Tunberg",Metro-Goldwyn-Mayer (MGM),"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring, Terence Longdon, George Relph, André Morell","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",8.1,214854,"$15,000,000","$74,422,622","$74,427,638",90.0,445.0,128.0
1,1959,1960,Best Director - Motion Picture,William Wyler,Ben-Hur,tt0052618,Ben-Hur,Ben-Hur,1959,21/10/1960,"Adventure, Drama, History",212,USA,English,William Wyler,"Lew Wallace, Karl Tunberg",Metro-Goldwyn-Mayer (MGM),"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring, Terence Longdon, George Relph, André Morell","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",8.1,214854,"$15,000,000","$74,422,622","$74,427,638",90.0,445.0,128.0
2,1960,1961,Best Performance by an Actress in a Supporting Role in any Motion Picture,Janet Leigh,Psycho,tt0155975,Psycho,Psycho,1998,23/04/1999,"Horror, Mystery, Thriller",105,USA,English,Gus Van Sant,"Robert Bloch, Joseph Stefano",Universal Pictures,"Vince Vaughn, Anne Heche, Julianne Moore, Viggo Mortensen, William H. Macy, Robert Forster, Philip Baker Hall, Anne Haney, Chad Everett, Rance Howard, Rita Wilson, James Remar, James Le Gros, Steven Clark Pachosa, O.B. Babbs","A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own.",4.6,45127,"$60,000,000","$21,485,655","$37,170,655",47.0,629.0,134.0
3,1962,1963,New Star Of The Year - Actress,Sue Lyon,Lolita,tt0119558,Lolita,Lolita,1997,26/09/1997,"Drama, Romance",137,"France, USA",English,Adrian Lyne,"Vladimir Nabokov, Stephen Schiff",Guild,"Jeremy Irons, Melanie Griffith, Frank Langella, Dominique Swain, Suzanne Shepherd, Keith Reddin, Erin J. Dean, Joan Glover, Pat Pierre Perkins, Ed Grady, Michael Goodwin, Angela Paton, Ben Silverstone, Emma Griffiths Malin, Ronald Pickup",A man marries his landlady so he can take advantage of her daughter.,6.9,51001,"$62,000,000","$1,071,255","$1,071,255",46.0,235.0,65.0
4,1964,1965,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rex Harrison,My Fair Lady,tt0058385,My Fair Lady,My Fair Lady,1964,23/03/1965,"Drama, Family, Musical",170,USA,English,George Cukor,"Alan Jay Lerner, George Bernard Shaw",Warner Bros.,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland",Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,7.8,84812,"$17,000,000","$72,560,711","$72,661,442",95.0,326.0,94.0
5,1964,1965,Best Director - Motion Picture,George Cukor,My Fair Lady,tt0058385,My Fair Lady,My Fair Lady,1964,23/03/1965,"Drama, Family, Musical",170,USA,English,George Cukor,"Alan Jay Lerner, George Bernard Shaw",Warner Bros.,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland",Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,7.8,84812,"$17,000,000","$72,560,711","$72,661,442",95.0,326.0,94.0
6,1964,1965,Actress In A Leading Role - Musical Or Comedy,Julie Andrews,Mary Poppins,tt0058331,Mary Poppins,Mary Poppins,1964,2/10/1965,"Comedy, Family, Fantasy",139,USA,English,Robert Stevenson,"Bill Walsh, Don DaGradi",Walt Disney Productions,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Reta Shaw, Karen Dotrice, Matthew Garber, Elsa Lanchester, Arthur Treacher, Reginald Owen, Ed Wynn, Jane Darwell, Arthur Malet, James Logan","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",7.8,154320,"$6,000,000","$102,272,727","$103,082,283",88.0,331.0,160.0
7,1968,1969,Actress In A Leading Role - Musical Or Comedy,Barbra Streisand,Funny Girl,tt0062994,Funny Girl,Funny Girl,1968,13/02/1969,"Biography, Comedy, Drama",151,USA,English,William Wyler,"Isobel Lennart, Isobel Lennart",Columbia Pictures,"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis, Walter Pidgeon, Lee Allen, Mae Questel, Gerald Mohr, Frank Faylen, Mittie Lawrence, Gertrude Flynn, Penny Santon, John Harmon, Thordis Brandt, Bettina Brenna",The life of,7.4,18998,"$14,100,000","$52,223,306","$52,224,263",89.0,98.0,58.0
8,1970,1971,Best Performance by an Actress in a Motion Picture - Drama,Ali MacGraw,Love Story,tt0066011,Love Story,Love Story,1970,9/07/1971,"Drama, Romance",100,USA,English,Arthur Hiller,Erich Segal,Paramount Pictures,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype, Katharine Balfour, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Charlotte Ford, Sudie Bond, Julie Garfield",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,6.9,29838,"$2,200,000","$106,550,690","$106,550,690",84.0,182.0,55.0
9,1970,1971,Best Director - Motion Picture,Arthur Hiller,Love Story,tt0066011,Love Story,Love Story,1970,9/07/1971,"Drama, Romance",100,USA,English,Arthur Hiller,Erich Segal,Paramount Pictures,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype, Katharine Balfour, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Charlotte Ford, Sudie Bond, Julie Garfield",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,6.9,29838,"$2,200,000","$106,550,690","$106,550,690",84.0,182.0,55.0
