,imdb_id,movie_title,year_released,genre,country,avg_vote,worldwide_gross_income,reviews_from_users,reviews_from_critics
79,tt0007183,Pikovaya dama,1916,"Drama, Fantasy, Horror",Russia,7.0,"$144,968",7.0,5.0
165,tt0010323,Il gabinetto del dottor Caligari,1920,"Fantasy, Horror, Mystery",Germany,8.1,"$8,811",237.0,160.0
210,tt0011440,Markens grøde,1921,Drama,Norway,6.6,"$4,272",3.0,3.0
222,tt0011741,Suds,1920,"Comedy, Drama, Romance",USA,6.3,"$772,155",9.0,1.0
245,tt0012190,I quattro cavalieri dell'Apocalisse,1921,"Drama, Romance, War",USA,7.2,"$9,183,673",45.0,16.0
251,tt0012349,Il monello,1921,"Comedy, Drama, Family",USA,8.3,"$26,916",173.0,105.0
254,tt0012397,Little Lord Fauntleroy,1921,Drama,USA,6.7,"$1,108,882",7.0,4.0
258,tt0012494,Destino,1921,"Drama, Fantasy, Thriller",Germany,7.7,"$12,156",34.0,43.0
297,tt0013442,Nosferatu - Il vampiro,1922,"Fantasy, Horror",Germany,7.9,"$19,054",419.0,202.0
348,tt0014624,La donna di Parigi,1923,"Drama, Romance",USA,7.0,"$11,233",37.0,24.0
397,tt0015532,Le avventure del principe Achmed,1926,"Animation, Adventure, Family",Germany,7.8,"$100,156",47.0,47.0
401,tt0015648,La corazzata Potemkin,1925,"Drama, History, Thriller",Soviet Union,8.0,"$61,389",210.0,85.0
415,tt0015864,La febbre dell'oro,1925,"Adventure, Comedy, Drama",USA,8.2,"$26,916",190.0,125.0
428,tt0016039,Un mondo perduto,1925,"Adventure, Fantasy, Thriller",USA,7.0,"$2,834,000",84.0,64.0
435,tt0016220,Il fantasma dell'opera,1925,Horror,USA,7.6,"$4,360,000",152.0,99.0
499,tt0017075,Il pensionante,1927,"Crime, Drama, Mystery",UK,7.3,"$83,260",102.0,87.0
506,tt0017136,Metropolis,1927,"Drama, Sci-Fi",Germany,8.3,"$1,349,711",495.0,208.0
580,tt0018192,Napoleone,1927,"Biography, Drama, History",France,8.1,"$39,448",66.0,44.0
600,tt0018455,Aurora,1927,"Drama, Romance",USA,8.1,"$121,107",250.0,186.0
611,tt0018528,Lo sconosciuto,1927,"Drama, Horror, Romance",USA,7.8,"$4,841",109.0,53.0
614,tt0018578,Ali,1927,"Drama, Romance, War",USA,7.5,$746,95.0,92.0
623,tt0018737,Il vaso di Pandora,1929,"Crime, Drama, Romance",Germany,7.9,"$62,686",90.0,85.0
624,tt0018742,Il cameraman,1928,"Comedy, Drama, Family",USA,8.1,"$1,737,460",61.0,49.0
